id,name,Relic Min,Relic Recommended,Throne,
,,You should at least lvl the relic to this value to get it working,Best and final Relic lvl,,
,,,,,
amunra,Amunra,1,30-50,20,
anubis,Anubis,20,30,30,low prio
ares,Ares,0,1,dont bother,
artemis,Artemis,0,0,dont bother,
athena,Athena,20,30,dont bother,
audhumla,Audhumla,0,0,,
bastet,Bastet,20,40-50,30,
caishen,Caishen,10,20-30,10,
cancer,Cancer,1,20-30,,
cronus,Cronus,1,30,,
demeter,Demeter,1,1-30,dont bother,
diana,Diana,1,10,20,high pvp potential but not prio
dionysus,Dionysus,1,30,30,
eris,Eris,20,30,,
fengyi,Fengyi,0,0,dont bother,
freya,Freya,0,0,dont bother,
geb,Geb,0,0,dont bother,
hades,Hades,10,30,,
hebo,Hebo,,,,
hecate,Hecate,10,20-30,dont bother,
heket,Heqet,1,30,,
hela,Hela,0,0,dont bother,
hephaestus,Hephaestus,1-20,30,,
hera,Hera,0,0,,
heracles,Heracles,1,30,,
hladgunnr,Hladgunnr,0,0,,
horus,Horus,0,0,dont bother,
idunn,Idunn,10,30,,
iris,Iris,0,0,dont bother,
isis,Isis,10,30,dont bother,
jingwei,Jingwei,10,20-30,10,
jormungandr,Jormungandr,0,0,dont bother,
khepri,Khepri,10,10-30,dont bother,
medusa,Medusa,0,0,dont bother,
mengpo,Mengpo,1,30,,
meret,Meret,10,30,,
momus,Momus,1,10,dont bother,
nemesis,Nemesis,1,10,dont bother,
nephtys,Nephtys,0,0,,
nezha,Nezha,1,30-50,,
nuba,Nuba,20,30,,
nut,Nut,1,30-40,,
nuwa,Nuwa,1,30,dont bother,
nyx,Nyx,1,30-50,30,
pan,Pan,0,20,20,very low prio
phoenix,Phoenix,1,30-50,20,
poseidon,Poseidon,10,10,10,
prometheus,Prometheus,10,10,dont bother,
sekhmet,Sekhmet,0,0,dont bother,
serket,Serket,20,30,,
set,Set,10,10,20,
skadi,Skadi,1,30-40,,
surtr,Surtr,0,0,,
tefnut,Tefnut,10,20,,
ullr,Ullr,0,0,dont bother,
wenshen,Wen-Shen,20,30,,
xuannv,Xuannv,20,30-50,,
yanluo,Yanluo,0,20,dont bother,
yaoji,Yaoji,,,,
yuelao,Yuelao,10,20,dont bother,
zaojun,Zaojun,1,30-40,,
zeus,Zeus,10,30-50,30,
