id,name,pveearly,pvemidgame,pveendgame,pvpearly,pvpmidgame,pvpendgame,overallAdjustment,overallReason
amunra,Amunra,B,B,S,,,,0,
anubis,Anubis,B,A,A,B,A,B,0,
ares,Ares,,C,C,,,,0,
artemis,Artemis,,D,D,,,,0,
athena,Athena,C,A,A,,,,0,
audhumla,Audhumla,C,D,D,,,,0,
bastet,Bastet,B,A,S,,,S,0,
caishen,Caishen,S,S,S,,,S,0,
cancer,Cancer,B,A,S,,,S,0,
cronus,Cronus,S,S,S,A,S,S,0,
demeter,Demeter,,C,C,,,,0,
diana,Diana,B,B,A,,,,0,
dionysus,Dionysus,C,A,S,,,S,0,
eris,Eris,C,A,A,,,,0,
fengyi,Fengyi,S,B,D,,,,0,
freya,Freya,A,D,D,A,B,C,0,
geb,Geb,,D,D,,,,0,
hades,Hades,C,S,S,C,S,S,0,
hebo,Hebo,,,D,,,,0,
hecate,Hecate,C,A,B,,,,0,
heket,Heqet,,,A,,,,0,
hela,Hela,,B,D,,,,0,
hephaestus,Hephaestus,A,A,S,,,B,0,
hera,Hera,B,B,A,,,,0,
heracles,Heracles,A,S,S,S,S,S,0,
hladgunnr,Hladgunnr,A,A,A,,,,0,
horus,Horus,,D,D,,,,0,
idunn,Idunn,,S,S,,,A,0,
iris,Iris,B,B,B,C,D,D,0,
isis,Isis,S,B,D,,,,0,
jingwei,Jingwei,B,A,A,,,,0,
jormungandr,Jormungandr,C,C,C,,,,0,
khepri,Khepri,C,B,B,,,,0,
medusa,Medusa,C,D,D,,,,0,
mengpo,Mengpo,,S,S,,S,S,0,
meret,Meret,,S,S,,S,S,0,
momus,Momus,B,A,B,,,,0,
nemesis,Nemesis,B,B,C,,,,0,
nephtys,Nephtys,C,C,C,D,D,D,0,
nezha,Nezha,C,A,S,,,S,0,
nuba,Nuba,,S,S,,,,0,
nut,Nut,S,S,S,S,A,B,0,
nuwa,Nuwa,A,,,,,,0,
nyx,Nyx,A,,,,,S,0,
pan,Pan,A,A,A,,,,0,
phoenix,Phoenix,B,A,B,,,,0,
poseidon,Poseidon,A,S,S,,S,S,0,
prometheus,Prometheus,,C,C,,,,0,
sekhmet,Sekhmet,,D,D,,,,0,
serket,Serket,,A,,,,,0,
set,Set,B,A,A,,,,0,
skadi,Skadi,,S,S,,,,0,
surtr,Surtr,D,D,D,D,D,D,0,
tefnut,Tefnut,,A,A,,,,0,
ullr,Ullr,D,D,C,,,,0,
wenshen,Wen-Shen,,A,A,,,A,0,
xuannv,Xuannv,A,S,S,,S,S,0,
yanluo,Yanluo,B,B,B,,,,0,
yaoji,Yaoji,B,S,S,B,A,S,,
yuelao,Yuelao,A,A,A,,,,0,
zaojun,Zaojun,S,S,,,,,0,
zeus,Zeus,C,S,S,C,A,S,0,
