"id","name","overall","pveearly","pvemidgame","pveendgame","pvpearly","pvpmidgame","pvpendgame"
"hebo","Hebo","B","D","","B","D","","B"
"audhumla","Audhumla","D","D","","B","D","","C"
"heket","Heqet","A","D","","B","D","","A"
"hades","Hades","S+","D","","S","D","","S"
"nephtys","Nephtys","D","D","","C","D","","B"
"amunra","Amunra","A","C","","B","D","","A"
"anubis","Anubis","A","B","","A","C","","A"
"aquarius","Aquarius","","","","","","",""
"ares","Ares","C","D","","C","C","","C"
"aries","Aries","","","","","","",""
"artemis","Artemis","D","D","","D","D","","C"
"athena","Athena","B","C","","B","C","","B"
"bastet","Bastet","S","C","","S","C","","S"
"caishen","Caishen","S+","S","","S","A","","S"
"cancer","Cancer","S+","B","","S","C","","A"
"canopicjar","Canopic Jar","","","","","","",""
"capricorn","Capricorn","","","","","","",""
"cronus","Cronus","S+","A","","S","A","","S"
"demeter","Demeter","D","D","","C","D","","C"
"diana","Diana","A","C","","A","D","","C"
"dionysus","Dionysus","A","B","","A","D","","C"
"eris","Eris","S","C","","S","D","","S"
"fengyi","Fengyi","D","B","","C","B","","D"
"freya","Freya","D","C","","D","C","","D"
"geb","Geb","C","C","","B","C","","C"
"gemini","Gemini","","","","","","",""
"hecate","Hecate","S","D","","S","D","","C"
"hela","Hela","D","D","","C","C","","C"
"hephaestus","Hephaestus","S","C","","S","C","","A"
"hera","Hera","A","C","","B","C","","A"
"heracles","Heracles","A","C","","A","B","","A"
"hladgunnr","Hladgunnr","C","B","","C","B","","C"
"horus","Horus","D","D","","D","D","","C"
"idunn","Idunn","S","B","","S","C","","A"
"iris","Iris","B","D","","B","D","","D"
"isis","Isis","D","B","","C","D","","C"
"jinchan","Jinchan","","","","","","",""
"jingwei","Jingwei","B","C","","B","C","","B"
"xuannv","Xuannv","S+","B","","S","C","","A"
"jormungandr","Jormungandr","D","D","","C","D","","C"
"khepri","Khepri","A","C","","A","B","","A"
"kraken","Kraken","","","","","","",""
"leo","Leo","","","","","","",""
"libra","Libra","","","","","","",""
"medusa","Medusa","D","D","","D","D","","D"
"mengpo","Mengpo","S+","A","","S","A","","S"
"meret","Meret","S+","B","","S","C","","A"
"momus","Momus","A","B","","A","B","","A"
"nemesis","Nemesis","B","B","","B","B","","C"
"nezha","Nezha","S+","A","","S","C","","S"
"nuba","Nuba","A","B","","A","B","","A"
"nut","Nut","S+","A","","S","S","","A"
"nuwa","Nuwa","A","A","","A","A","","B"
"nymphia","Nymphia","","","","","","",""
"nyx","Nyx","A","B","","A","B","","A"
"pan","Pan","B","C","","B","B","","B"
"phoenix","Phoenix","B","C","","B","C","","C"
"pisces","Pisces","","","","","","",""
"poseidon","Poseidon","S+","A","","S","B","","A"
"prometheus","Prometheus","C","D","","C","D","","C"
"ratatoskr","Ratatoskr","","","","","","",""
"sagittarius","Sagittarius","","","","","","",""
"scorpio","Scorpio","","","","","","",""
"sekhmet","Sekhmet","D","D","","C","D","","D"
"serket","Serket","A","B","","A","B","","A"
"set","Set","A","B","","A","C","","B"
"skadi","Skadi","S","A","","S","A","","S"
"surtr","Surtr","D","D","","D","D","","D"
"tailao","Tailao","","","","","","",""
"taurus","Taurus","","","","","","",""
"tefnut","Tefnut","A","C","","A","C","","B"
"treant","Treant","","","","","","",""
"ullr","Ullr","D","D","","D","D","","D"
"ushabti","Ushabti","","","","","","",""
"virgo","Virgo","","","","","","",""
"wenshen","Wen-Shen","A","C","","A","C","","A"
"yanluo","Yanluo","B","C","","B","C","","B"
"yuelao","Yuelao","S","A","","S","A","","A"
"zeus","Zeus","S+","C","","S","C","","S"
