Info:,,EARLY,MID,END/LATEGAME,,,,,
,,Ch. 1-39,Ch. 40-55,Ch. 55+,,,,,
,,Relic: 0-10,Relic: 10-30,Relic: 30+,,,,,
,,or should we completely ignore relic invest here? Usage: Select a rating from the dropdown,,,,,,,
id,name,pveearly,pvemidgame,pveendgame,pvpearly,pvpmidgame,pvpendgame,overallAdjustment,overallReason
amunra,Amunra,B,B,S,,,,0,
anubis,Anubis,,,,,,,0,
ares,Ares,,,,,,,0,
artemis,Artemis,,,,,,,0,
athena,Athena,C,B,B,,,,0,
audhumla,Audhumla,C,D,D,undefined,,,0,
bastet,Bastet,B,A,S,,,S,0,
caishen,Caishen,,,,,,,0,
cancer,Cancer,,,,,,,0,
cronus,Cronus,S,S,S,A,S,S,0,
demeter,Demeter,,,,,,,0,
diana,Diana,B,B,A,,,,0,
dionysus,Dionysus,,,,,,,0,
eris,Eris,,,,,,,0,
fengyi,Fengyi,A,,,,,,0,
freya,Freya,C,D,D,A,B,C,0,
geb,Geb,,,,,,,0,
hades,Hades,C,S,S,,,S,0,
hebo,Hebo,,,,,,,0,
hecate,Hecate,,,,,,,0,
heket,Heqet,,,,,,,0,
hela,Hela,,,,,,,0,
hephaestus,Hephaestus,,,,,,,0,
hera,Hera,B,B,A,,,,0,
heracles,Heracles,A,,,,,,0,
hladgunnr,Hladgunnr,A,,,,,,0,
horus,Horus,,,,,,,0,
idunn,Idunn,,,,,,,0,
iris,Iris,B,B,B,C,D,D,0,
isis,Isis,,,,,,,0,
jingwei,Jingwei,B,A,A,,,,0,
jormungandr,Jormungandr,C,D,D,,,,0,
khepri,Khepri,C,B,B,,,,0,
medusa,Medusa,C,D,D,,,,0,
mengpo,Mengpo,,,,,,,0,
meret,Meret,,,,,,,0,
momus,Momus,,,,,,,0,
nemesis,Nemesis,,,,,,,0,
nephtys,Nephtys,C,C,C,D,D,D,0,
nezha,Nezha,,,,,,,0,
nuba,Nuba,,,,,,,0,
nut,Nut,S,S,S,S,A,B,0,
nuwa,Nuwa,A,,,,,,0,
nyx,Nyx,A,,,,,,0,
pan,Pan,,,,,,,0,
phoenix,Phoenix,,,,,,,0,
poseidon,Poseidon,A,S,S,,,,0,
prometheus,Prometheus,,,,,,,0,
sekhmet,Sekhmet,,,,,,,0,
serket,Serket,,,,,,,0,
set,Set,,,,,,,0,
skadi,Skadi,,,,,,,0,
surtr,Surtr,D,D,D,D,D,D,0,
tefnut,Tefnut,,,,,,,0,
ullr,Ullr,D,D,C,,,,0,
wenshen,Wen-Shen,,,,,,,0,
xuannv,Xuannv,A,S,S,,,,0,
yanluo,Yanluo,,,,,,,0,
yaoji,Yaoji,B,S,S,B,A,S,,
yuelao,Yuelao,,,,,,,0,
zaojun,Zaojun,S,S,,,,,0,
zeus,Zeus,C,S,S,C,A,S,0,
